"Sample","Glikoliz","TCA_Dongusu","Lipid_Sentezi","Nukleotit","Cancer"
"TCGA-W5-AA2X-01A",3.82111883255058,3.70703889793359,3.59649639128047,3.53077683759895,"CHOL"
"TCGA-W5-AA30-01A",3.64083471116859,3.72626439820628,3.59355738542338,3.53613524047659,"CHOL"
"TCGA-W5-AA2R-11A",3.37357723060004,3.69504397838874,3.51648784931374,3.1302393288676,"CHOL"
"TCGA-ZH-A8Y2-01A",3.66099609219448,3.68263277999255,3.43529397086592,3.40956766283641,"CHOL"
"TCGA-W5-AA2G-01A",3.80338748108305,3.72744803099222,3.56804227116618,3.52966231324227,"CHOL"
"TCGA-W5-AA2Z-01A",3.80162632111785,3.72501166792575,3.52493127959334,3.43466171351554,"CHOL"
"TCGA-W5-AA31-11A",3.29654566217113,3.73729472552735,3.54425640267883,3.17043678344278,"CHOL"
"TCGA-W5-AA2Q-11A",3.34451136625427,3.63293781454948,3.38485494109638,3.14222757266252,"CHOL"
"TCGA-W5-AA2X-11A",3.42570116943701,3.69245050798697,3.57841030388646,3.13928484951052,"CHOL"
"TCGA-W5-AA33-01A",3.63236234242231,3.69366174101664,3.55862611805657,3.45587871263402,"CHOL"
"TCGA-3X-AAV9-01A",3.80748535045469,3.65310051600146,3.52572111850254,3.37544389635547,"CHOL"
"TCGA-YR-A95A-01A",3.58846530219369,3.74331541575209,3.38582682612748,3.42572626069624,"CHOL"
"TCGA-ZH-A8Y6-01A",3.73591908939527,3.86010470913667,3.52852499044311,3.4597235952948,"CHOL"
"TCGA-ZH-A8Y5-01A",3.80848872246403,3.76142268469395,3.50968112764315,3.4563947613684,"CHOL"
"TCGA-4G-AAZO-01A",3.69570164802381,3.58390574986525,3.31492508429997,3.28240728451797,"CHOL"
"TCGA-3X-AAVC-01A",3.74168979023789,3.74103900371602,3.58652702343017,3.48931703707991,"CHOL"
"TCGA-W5-AA36-01A",3.6989927261192,3.81631198922491,3.50442279820789,3.41431687035825,"CHOL"
